City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
97,Maridi,4.9158,29.4742,68.23,88,52,6.42,SS,broken clouds
98,Nchelenge,-9.3451,28.734,67.57,92,100,7.72,ZM,moderate rain
99,Namatanai,-3.6667,152.4333,81.95,73,97,3.44,PG,overcast clouds
100,Atambua,-9.1061,124.8925,69.85,81,100,3.76,ID,overcast clouds
101,Asfi,32.2994,-9.2372,63.12,82,0,3.44,MA,clear sky
102,Aquin,18.2833,-73.4,79.02,71,9,4.23,HT,clear sky
103,Saint Anthony,45.0205,-93.218,51.8,57,90,8.05,US,overcast clouds
104,Bengkulu,-3.8004,102.2655,72.99,92,100,6.71,ID,overcast clouds
105,San Ignacio,17.1561,-89.0714,95.0,46,40,6.91,BZ,scattered clouds
106,Shingu,33.7333,135.9833,57.34,84,100,11.54,JP,overcast clouds
107,Ancud,-41.8697,-73.8203,57.0,76,40,3.44,CL,scattered clouds
108,Pangnirtung,66.1451,-65.7125,3.2,55,20,9.22,CA,few clouds
109,Waipawa,-41.4122,175.5153,64.4,63,1,18.41,NZ,clear sky
110,Iqaluit,63.7506,-68.5145,8.6,72,75,17.27,CA,broken clouds
111,Palauig,15.435,119.9045,80.06,75,89,2.93,PH,overcast clouds
112,Hofn,64.2539,-15.2082,45.41,96,100,24.09,IS,heavy intensity rain
113,Mount Isa,-20.7333,139.5,73.4,20,1,8.05,AU,clear sky
114,Touros,-5.1989,-35.4608,80.6,83,40,8.05,BR,light rain
115,Niteroi,-22.8833,-43.1036,77.0,78,40,9.22,BR,scattered clouds
116,Hambantota,6.1241,81.1185,73.4,100,20,3.44,LK,few clouds
117,Coahuayana,18.7333,-103.6833,87.8,48,1,5.75,MX,clear sky
118,Deputatskiy,69.3,139.9,-5.55,90,91,3.38,RU,overcast clouds
119,Broken Hill,-31.95,141.4333,48.2,71,65,8.05,AU,broken clouds
120,Umba,66.6871,34.3429,33.4,93,98,10.56,RU,overcast clouds
121,Bluff,-46.6,168.3333,51.01,89,89,8.99,NZ,light rain
122,Busselton,-33.65,115.3333,55.0,94,73,8.34,AU,broken clouds
123,Rumonge,-3.9736,29.4386,70.74,85,95,3.38,BI,light rain
124,Kruisfontein,-34.0033,24.7314,64.0,78,100,4.0,ZA,overcast clouds
125,San Rafael,-34.6177,-68.3301,71.38,38,0,2.51,AR,clear sky
126,New Norfolk,-42.7826,147.0587,46.99,85,37,3.0,AU,scattered clouds
127,Tiksi,71.6872,128.8694,-2.16,99,95,2.04,RU,overcast clouds
128,Narsaq,60.9167,-46.05,33.8,40,40,19.57,GL,scattered clouds
129,Rocha,-34.4833,-54.3333,65.23,92,35,5.91,UY,scattered clouds
130,Rawson,-43.3002,-65.1023,65.14,32,0,6.87,AR,clear sky
131,San Cristobal,7.7669,-72.225,86.0,62,40,8.05,VE,scattered clouds
132,Sao Joao Da Barra,-21.6403,-41.0511,75.2,73,20,3.44,BR,few clouds
133,Victoria,22.2855,114.1577,73.0,95,100,13.82,HK,overcast clouds
134,Maksatikha,57.797,35.8825,40.98,76,100,11.34,RU,overcast clouds
135,Port Hawkesbury,45.6169,-61.3485,43.0,61,1,8.05,CA,clear sky
136,Krasnyy Yar,46.5331,48.3456,51.8,71,0,6.71,RU,clear sky
137,Werder,52.3787,12.934,37.99,79,100,10.42,DE,overcast clouds
138,Vanderhoof,54.0166,-124.0198,56.61,57,45,4.21,CA,scattered clouds
139,Roma,43.2128,-75.4557,43.0,81,90,9.22,US,overcast clouds
140,Turbat,26.0023,63.044,82.0,34,29,2.98,PK,scattered clouds
141,Manzhouli,49.6,117.4333,31.41,39,100,16.06,CN,overcast clouds
142,Churachandpur,24.3333,93.6667,64.98,51,100,1.88,IN,overcast clouds
143,Upernavik,72.7868,-56.1549,-7.78,94,100,2.57,GL,overcast clouds
144,Marzuq,14.4,46.4667,69.01,57,77,5.28,YE,broken clouds
145,Atherton,53.5237,-2.4935,45.0,55,78,3.44,GB,broken clouds
146,Ranong,9.9658,98.6348,79.95,83,79,4.05,TH,broken clouds
147,Oranjemund,-28.55,16.4333,71.33,47,27,5.03,NA,scattered clouds
148,Saint-Philippe,-21.3585,55.7679,75.2,83,0,4.61,RE,light rain
149,Labuan,5.2767,115.2417,77.0,94,20,5.3,MY,few clouds
150,Castro,-24.7911,-50.0119,62.82,79,91,7.29,BR,overcast clouds
151,Sechura,-5.5569,-80.8222,78.04,60,67,10.71,PE,broken clouds
152,Ayolas,-27.4,-56.9,70.29,88,56,5.97,PY,moderate rain
153,Tuktoyaktuk,69.4541,-133.0374,19.4,86,90,17.27,CA,snow
154,Sambava,-14.2667,50.1667,75.47,91,74,6.42,MG,broken clouds
155,San Carlos,9.6612,-68.5827,89.47,48,73,2.46,VE,broken clouds
156,Phan Thiet,10.9333,108.1,77.29,85,52,2.19,VN,broken clouds
